Date,Day of Week,Daily Miles,Personal Miles,Commuter Miles,Work Miles,Unallocated,Running Total,Notes
2015-12-18,Friday,33.1,0.0,0.0,0.0,33.1,33.1,
2015-12-19,Saturday,79.1,0.0,0.0,0.0,79.1,112.2,
2015-12-20,Sunday,1.5,0.0,0.0,0.0,1.5,113.7,
2015-12-21,Monday,27.5,0.0,0.0,0.0,27.5,141.3,
2015-12-22,Tuesday,16.2,0.0,0.0,0.0,16.2,157.5,
2015-12-23,Wednesday,17.6,0.0,0.0,0.0,17.6,175.0,
2015-12-24,Thursday,16.6,0.0,0.0,0.0,16.6,191.6,
2015-12-25,Friday,19.5,0.0,0.0,0.0,19.5,211.1,
2015-12-26,Saturday,82.0,0.0,0.0,0.0,82.0,293.1,
2015-12-27,Sunday,35.2,0.0,0.0,0.0,35.2,328.3,
2015-12-28,Monday,19.1,0.0,0.0,0.0,19.1,347.3,
2015-12-29,Tuesday,39.7,0.0,0.0,0.0,39.7,387.0,
2015-12-30,Wednesday,17.1,0.0,0.0,0.0,17.1,404.2,
2015-12-31,Thursday,20.2,0.0,0.0,0.0,20.2,424.3,
2016-01-01,Friday,73.7,0.0,0.0,0.0,73.7,498.0,
2016-01-02,Saturday,8.8,0.0,0.0,0.0,8.8,506.8,
2016-01-04,Monday,19.8,0.0,0.0,0.0,19.8,526.6,
2016-01-05,Tuesday,42.4,0.0,0.0,0.0,42.4,569.0,
2016-01-06,Wednesday,21.8,0.0,0.0,0.0,21.8,590.8,
2016-01-07,Thursday,17.8,0.0,0.0,0.0,17.8,608.6,
2016-01-08,Friday,22.1,0.0,0.0,0.0,22.1,630.7,
2016-01-09,Saturday,21.2,0.0,0.0,0.0,21.2,651.9,
2016-01-10,Sunday,72.4,0.0,0.0,0.0,72.4,724.3,
2016-01-11,Monday,28.6,0.0,0.0,0.0,28.6,752.9,
2016-01-12,Tuesday,38.2,0.0,0.0,0.0,38.2,791.2,
2016-01-13,Wednesday,44.0,0.0,0.0,0.0,44.0,835.2,
2016-01-14,Thursday,13.7,0.0,0.0,0.0,13.7,848.9,
2016-01-16,Saturday,13.0,0.0,0.0,0.0,13.0,861.9,
2016-01-17,Sunday,36.2,0.0,0.0,0.0,36.2,898.1,
2016-01-18,Monday,70.8,0.0,0.0,0.0,70.8,969.0,
2016-01-19,Tuesday,26.5,0.0,0.0,0.0,26.5,995.5,
2016-01-20,Wednesday,28.5,0.0,0.0,0.0,28.5,1024.0,
2016-01-21,Thursday,46.3,0.0,0.0,0.0,46.3,1070.3,
2016-01-22,Friday,61.2,0.0,0.0,0.0,61.2,1131.5,
2016-01-23,Saturday,22.2,0.0,0.0,0.0,22.2,1153.6,
2016-01-24,Sunday,1.1,0.0,0.0,0.0,1.1,1154.7,
2016-01-28,Thursday,0.4,0.0,0.0,0.0,0.4,1155.1,
2016-01-29,Friday,39.8,0.0,0.0,0.0,39.8,1194.9,
2016-01-30,Saturday,57.1,0.0,0.0,0.0,57.1,1252.0,
2016-01-31,Sunday,48.0,0.0,0.0,0.0,48.0,1300.0,
2016-02-01,Monday,2.5,0.0,0.0,0.0,2.5,1302.6,
2016-02-02,Tuesday,28.8,0.0,0.0,0.0,28.8,1331.3,
2016-02-03,Wednesday,46.7,0.0,0.0,0.0,46.7,1378.1,
2016-02-04,Thursday,6.9,0.0,0.0,0.0,6.9,1385.0,
2016-02-05,Friday,19.7,0.0,0.0,0.0,19.7,1404.7,
2016-02-06,Saturday,64.6,0.0,0.0,0.0,64.6,1469.3,
2016-02-07,Sunday,54.5,0.0,0.0,0.0,54.5,1523.8,
2016-02-08,Monday,49.4,0.0,0.0,0.0,49.4,1573.2,
2016-02-09,Tuesday,29.8,0.0,0.0,0.0,29.8,1603.0,
2016-02-10,Wednesday,26.7,0.0,0.0,0.0,26.7,1629.8,
2016-02-11,Thursday,72.2,0.0,0.0,0.0,72.2,1701.9,
2016-02-12,Friday,71.0,0.0,0.0,0.0,71.0,1773.0,
2016-02-13,Saturday,39.3,0.0,0.0,0.0,39.3,1812.3,
2016-02-14,Sunday,77.2,0.0,0.0,0.0,77.2,1889.4,
2016-02-15,Monday,24.6,0.0,0.0,0.0,24.6,1914.0,
2016-02-16,Tuesday,34.8,0.0,0.0,0.0,34.8,1948.8,
2016-02-17,Wednesday,34.7,0.0,0.0,0.0,34.7,1983.5,
2016-02-18,Thursday,29.2,0.0,0.0,0.0,29.2,2012.7,
2016-02-19,Friday,22.7,0.0,0.0,0.0,22.7,2035.4,
2016-02-20,Saturday,4.8,0.0,0.0,0.0,4.8,2040.2,
2016-02-22,Monday,15.5,0.0,0.0,0.0,15.5,2055.7,
2016-02-23,Tuesday,21.9,0.0,0.0,0.0,21.9,2077.7,
2016-02-24,Wednesday,24.8,0.0,0.0,0.0,24.8,2102.5,
2016-02-25,Thursday,65.6,0.0,0.0,0.0,65.6,2168.1,
2016-02-26,Friday,26.7,0.0,0.0,0.0,26.7,2194.8,
2016-02-27,Saturday,13.8,0.0,0.0,0.0,13.8,2208.6,
2016-02-28,Sunday,35.3,0.0,0.0,0.0,35.3,2243.8,
2016-02-29,Monday,102.5,0.0,0.0,0.0,102.5,2346.3,
2016-03-01,Tuesday,30.1,0.0,0.0,0.0,30.1,2376.4,
2016-03-02,Wednesday,25.8,0.0,0.0,0.0,25.8,2402.2,
2016-03-03,Thursday,39.0,0.0,0.0,0.0,39.0,2441.2,
2016-03-04,Friday,26.8,0.0,0.0,0.0,26.8,2468.1,
2016-03-05,Saturday,52.1,0.0,0.0,0.0,52.1,2520.1,
2016-03-06,Sunday,50.8,0.0,0.0,0.0,50.8,2571.0,
2016-03-07,Monday,34.1,0.0,0.0,0.0,34.1,2605.1,
2016-03-08,Tuesday,44.4,0.0,0.0,0.0,44.4,2649.4,
2016-03-09,Wednesday,42.9,0.0,0.0,0.0,42.9,2692.3,
2016-03-10,Thursday,52.1,0.0,0.0,0.0,52.1,2744.4,
2016-03-11,Friday,69.7,0.0,0.0,0.0,69.7,2814.2,
2016-03-12,Saturday,11.3,0.0,0.0,0.0,11.3,2825.4,
2016-03-13,Sunday,34.8,0.0,0.0,0.0,34.8,2860.2,
2016-03-14,Monday,7.6,0.0,0.0,0.0,7.6,2867.8,
2016-03-15,Tuesday,34.8,0.0,0.0,0.0,34.8,2902.6,
2016-03-16,Wednesday,33.8,0.0,0.0,0.0,33.8,2936.5,
2016-03-17,Thursday,81.9,0.0,0.0,0.0,81.9,3018.4,
2016-03-18,Friday,6.3,0.0,0.0,0.0,6.3,3024.6,
2016-03-27,Sunday,18.5,0.0,0.0,0.0,18.5,3043.2,
2016-03-28,Monday,40.3,0.0,0.0,0.0,40.3,3083.5,
2016-03-29,Tuesday,23.4,0.0,0.0,0.0,23.4,3106.9,
2016-03-30,Wednesday,9.3,0.0,0.0,0.0,9.3,3116.2,
2016-04-01,Friday,16.2,0.0,0.0,0.0,16.2,3132.4,
2016-04-02,Saturday,32.6,0.0,0.0,0.0,32.6,3165.0,
2016-04-03,Sunday,61.5,0.0,0.0,0.0,61.5,3226.5,
2016-04-04,Monday,74.5,0.0,0.0,0.0,74.5,3300.9,
2016-04-05,Tuesday,40.7,0.0,0.0,0.0,40.7,3341.6,
